group;dist;proportion;ntotal;nreturn
East;292,4268277;78,60521111;20;16
East;939,2218184;99,56877317;20;20
East;1964,607537;80,21606601;20;16
East;2931,971342;84,5149377;20;17
East;2935,003689;70,73595503;20;14
East;3296,101851;69,90590674;20;14
East;4442,84932;59,08540808;20;12
East;4923,544134;74,80817014;20;15
East;5961,964417;36,22640314;20;7
East;7021,430091;22,01438328;20;4
East;7767,930446;29,91676888;20;6
East;10951,30595;4,658498943;20;1
East;11066,76141;0;20;0
West;1381,356047;90,51083724;20;18
West;2496,17336;64,78096954;20;13
West;3030,952564;34,74426457;20;7
West;4038,279981;17,44848405;20;3
West;7051,663038;4,635869491;20;1
West;274,5948197;79,63385547;20;16
North;274,2780073;81,07345067;20;16
North;1948,359591;74,04673434;20;15
North;2976,008255;44,41120429;20;9
North;4019,180723;24,23550923;20;5
North;4992,835516;0;20;0
North;7015,320139;9,778005078;20;2
South;379,9122882;81,07127825;20;16
South;448,2984915;90,32437056;20;18
South;770,5871438;65,84473481;20;13
South;1086,494291;70,36265959;20;14
South;1440,780988;60,4839082;20;12
South;1844,490407;66,02830492;20;13
South;3007,689488;60,45168386;20;12
South;4001,258198;25,67546651;20;5
South;5022,208544;26,47709221;20;5
South;5996,315925;0;20;0
