Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Document Type,Source
"MacInnis G., Buddle C.M., Forrest J.R.K.","Small wild bee abundance declines with distance into strawberry crops regardless of field margin habitat",2020,"Basic and Applied Ecology","44",,,"14","23",,"10.1016/j.baae.2020.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080054303&doi=10.1016%2fj.baae.2020.02.007&partnerID=40&md5=c0e941dd4a2b7d6e15a0187edfe03ce6","The preservation of pollinator habitat on croplands in the form of hedgerows, wildflower strips, and natural and semi-natural areas can help maintain and enhance wild bee populations in agricultural landscapes. However, there have been few comparisons of the effectiveness of different types of field-margin pollinator habitat in maintaining bee diversity and pollination of the focal crops. We compared wild bee abundance, species richness and community composition between strawberry crops bordered by hedgerows, and those bordered by larger expanses of natural land (forests). Strawberry is an ideal crop in which to investigate pollinator export from field margins as the rows are covered with straw, which reduces habitat for ground-nesting bees within the crop; thus, most wild pollinators need to enter the crop from the margins. We sampled bees in six strawberry fields with hedgerow margins and six strawberry fields with forested margins of at least 200 m in length, using a paired design. We examined strawberry pollen deposition at regular intervals into the fields, and the magnitude of pollinator export from the field margins towards the centre of the crops. We found that bees as a group were no more species-rich or abundant in crops bordered by forests than in crops bordered by hedgerows, although large-bodied bees were more abundant in the former than the latter. Regardless of field-margin type, we found that small wild bee abundance declined significantly from the edge to the centre of the crop, but honey bee (Apis mellifera L.) and large-bodied bee abundance did not. Strawberry pollen deposition also did not decline with distance into the crop. Although previous work indicates that small wild bees are more effective (yield-increasing) pollinators of strawberry on a per-visit basis, their limited foraging ranges suggest they may only pollinate areas near the crop margins, given typical field sizes in our area. © 2020 Gesellschaft für Ökologie",Article,Scopus
"Bänsch S., Tscharntke T., Ratnieks F.L.W., Härtel S., Westphal C.","Foraging of honey bees in agricultural landscapes with changing patterns of flower resources",2020,"Agriculture, Ecosystems and Environment","291",, 106792,"","",,"10.1016/j.agee.2019.106792","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076557011&doi=10.1016%2fj.agee.2019.106792&partnerID=40&md5=db3d108243a06256ab77978430cd0242","The demand for crop pollination is increasing and honey bees are frequently used, in particular as wild pollinators are in decline. Temporal and spatial variation of flower resources affects foraging decisions of wild and honey bees. To optimise crop pollination management a better understanding of potential competition for pollinators in mass- and minor-flowering crops is needed. We combined waggle dance decoding, pollen load analysis and field surveys to identify the habitat preferences and pollen use of honey bees in response to spatio-temporal changes in resource availability. Observation hives were placed on the edge of eleven fields of blooming strawberries (mean 2.24 ha) located in landscapes with different amounts of oilseed rape (OSR), semi-natural habitats (SNH) and apple trees in Germany. In addition, we surveyed honey bees and wild bees in strawberry fields. Honey bee dances more often indicated strawberry, OSR fields and SNH than expected given their landscape-wide areas. Honey bees collected on average 7.9 % strawberry, 49.0 % OSR, 30.2 % Pyrus type (e.g. apple) and 12.9 % other pollen types. The mean honey bee foraging distance was 740 m, and decreased with OSR availability. In the observation hives, dances for strawberry fields were not directly affected by OSR availability or SNH land cover. But large amounts of OSR reduced overall honey bee and bumble bee abundance in strawberry fields, while solitary bees were unaffected. Bumble bees were most abundant in strawberry fields (54.1%) and together with solitary bees (19.7%) they represented about 75.0% of the observed bees. Minor-flowering strawberry fields represent a preferred resource for honey bees, especially for small colonies as indicated by decoding of waggle dances. However, the availability of more attractive OSR and local strawberry flower cover moderates the abundance of social bees (honey bees and bumble bees) in strawberry fields while other wild bees were less affected. Hence, we conclude that wild bee conservation plays a major role for strawberry pollination. If pollination services by solitary bees are limited, small honey bee hives can be used scrupulously to supplement pollination services in strawberries. © 2019 Elsevier B.V.",Article,Scopus
"Kheradmand B., Cassano J., Gray S., Nieh J.C.","Influence of visual targets and landmarks on honey bee foraging and waggle dancing",2020,"Insect Science","27","2",,"349","360",,"10.1111/1744-7917.12651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058646962&doi=10.1111%2f1744-7917.12651&partnerID=40&md5=aa97e69d9369442247a8af2768180183","Animals use diverse sensory stimuli to navigate their environment and to recognize rewarding food sources. Honey bees use visual attributes of the targeted food source, such as its color, shape, size, direction and distance from the hive, and the landmarks around it to navigate during foraging. They transmit the location information of the food source to other bees if it is highly rewarding. To investigate the relative importance of these attributes, we trained bees to feeders in two different experiments. In the first experiment, we asked whether bees prefer to land on (a) a similar feeder at a different distance on the same heading or on (b) a visually distinct feeder located at the exact same location. We found that, within a short foraging range, bees relied heavily on the color and the shape of the food source and to a lesser extent on its distance from the hive. In the second experiment, we asked if moving the main landmark or the feeder (visual target) influenced recruitment dancing for the feeder. We found that foragers took longer to land and danced fewer circuits when the location of the food source, or a major landmark associated with it, changed. These results demonstrate that prominent visual attributes of food sources and landmarks are evidently more reliable than distance information and that foraging bees heavily utilize these visual cues at the later stages of their journey. © 2018 Institute of Zoology, Chinese Academy of Sciences",Article,Scopus
"Boyle N.K., Artz D.R., Lundin O., Ward K., Picklum D., Wardell G.I., Williams N.M., Pitts-Singer T.L.","Wildflower plantings promote blue orchard bee, Osmia lignaria (Hymenoptera: Megachilidae), reproduction in California almond orchards",2020,"Ecology and Evolution","10","7",,"3189","3199",,"10.1002/ece3.5952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083085850&doi=10.1002%2fece3.5952&partnerID=40&md5=4d5f2b0c66c189eb509643bc61f308f2","Concerns over the availability of honeybees (Apis mellifera L.) to meet pollination demands have elicited interest in alternative pollinators to mitigate pressures on the commercial beekeeping industry. The blue orchard bee, Osmia lignaria (Say), is a commercially available native bee that can be employed as a copollinator with, or alternative pollinator to, honeybees in orchards. To date, their successful implementation in agriculture has been limited by poor recovery of bee progeny for use during the next spring. This lack of reproductive success may be tied to an inadequate diversity and abundance of alternative floral resources during the foraging period. Managed, supplementary wildflower plantings may promote O. lignaria reproduction in California almond orchards. Three wildflower plantings were installed and maintained along orchard edges to supplement bee forage. Plantings were seeded with native wildflower species that overlapped with and extended beyond almond bloom. We measured bee visitation to planted wildflowers, bee reproduction, and progeny outcomes across orchard blocks at variable distances from wildflower plantings during 2015 and 2016. Pollen provision composition was also determined to confirm O. lignaria wildflower pollen use. Osmia lignaria were frequently observed visiting wildflower plantings during, and after, almond bloom. Most O. lignaria nesting occurred at orchard edges. The greatest recovery of progeny occurred along the orchard edges having the closest proximity (80 m) to managed wildflower plantings versus edges farther away. After almond bloom, O. lignaria nesting closest to the wildflower plantings collected 72% of their pollen from Phacelia spp., which supplied 96% of the managed floral area. Phacelia spp. pollen collection declined with distance from the plantings, but still reached 17% 800 m into the orchard. This study highlights the importance of landscape context and proximity to supplementary floral resources in promoting the propagation of solitary bees as alternative managed pollinators in commercial agriculture. © 2020 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",Article,Scopus
"Lanner J., Kratschmer S., Petrović B., Gaulhofer F., Meimberg H., Pachinger B.","City dwelling wild bees: how communal gardens promote species richness",2020,"Urban Ecosystems","23","2",,"271","288",,"10.1007/s11252-019-00902-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075928803&doi=10.1007%2fs11252-019-00902-5&partnerID=40&md5=2c8fad667ffcd525009fafc0bb5ade98","Urban areas consist of wide expanses of impervious surfaces which are known to negatively affect insect biodiversity in general, but green spaces within cities have the potential to provide necessary habitat and foraging resources. Although, communal gardens were primarily intended to provide fresh, regional food to denizens, these green islands also host a surprisingly high number of wild bee species. The gardens were characterized based on structural elements such as flower frequency, the relative percentage of lawn, trees, shrubs, planted crops and infrastructure (e.g. seating possibilities or garden houses). Further, the effects of different landscape structures surrounding the gardens and distance to the city center were analyzed on the total wild bee species richness and functional traits. Focusing on these putative influencing factors, statistical analyses calculating random decision forests along with generalized linear mixed models were applied. With 113 observed wild bee species, communal gardens provide habitat for a quarter of all known species in Vienna. In conclusion, results revealed that only elements within the gardens had an effect on species richness, with flower frequency as the major positive driver. The examined communal gardens promote and conserve wild bees independent from the location within the city or garden size. Furthermore, these green patches are important sanctuaries, hosting rare and threatened species as well as remarkably special wild bee communities. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Article,Scopus
"Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.","Adaptive evolution of honeybee dance dialects",2020,"Proceedings of the Royal Society B: Biological Sciences","287","1922", 20200190,"","",,"10.1098/rspb.2020.0190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081041721&doi=10.1098%2frspb.2020.0190&partnerID=40&md5=7eb77b6cc9de95abc0208c36f6158161","Efficient communication is highly important for the evolutionary success of social animals. Honeybees (genus Apis) are unique in that they communicate the spatial information of resources using a symbolic 'language', the waggle dance. Different honeybee species differ in foraging ecology but it remains unknown whether this shaped variation in the dance. We studied distance dialects-interspecific differences in how waggle duration relates to flight distance-and tested the hypothesis that these evolved to maximize communication precision over the bees' foraging ranges. We performed feeder experiments with Apis cerana, A. florea and A. dorsata in India and found that A. cerana had the steepest dialect, i.e. a rapid increase in waggle duration with increasing feeder distance, A. florea had an intermediate, and A. dorsata had the lowest dialect. By decoding dances for natural food sites, we inferred that the foraging range was smallest in A. cerana, intermediate in A. florea and largest in A. dorsata. The inverse correlation between foraging range and dialect was corroborated when comparing six (sub)species across the geographical range of the genus including previously published data. We conclude that dance dialects constitute adaptations resulting from a trade-off between the spatial range and the spatial accuracy of communication. © 2020 The Author(s) Published by the Royal Society. All rights reserved.",Article,Scopus
"Machado T., Viana B.F., da Silva C.I., Boscolo D.","How landscape composition affects pollen collection by stingless bees?",2020,"Landscape Ecology","35","3",,"747","759",,"10.1007/s10980-020-00977-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079713951&doi=10.1007%2fs10980-020-00977-y&partnerID=40&md5=5f748ace2f073fc09d92953229412dce","Context: Human disturbances are one of the main reasons for the recent deficit of pollinators, which can cause severe habitat loss, decreasing food availability and nesting resources for pollinators. However, few studies show how landscapes composition and configuration can impact the pollen foraging of bees. Objectives: We aimed to evaluate how landscape structure and local characteristics can influence the pollen foraging patterns of the stingless bee Melipona quadrifasciata anthidioides in agricultural landscapes of Chapada Diamantina, a region of the Bahia state in Brazil. Methods: Pollen samples were collected from fourteen M. quadrifasciata anthidioides colonies to evaluate how pollen collection varies according to different proportions of human land-use, landscape heterogeneity, plant richness and distance from crops. To explain the richness and diversity of pollen collected by bees, we used generalized linear models, and linear models, compared through the Akaike information criteria corrected for small samples (AICc). Results: Pollen richness can be explained by the distance from crops, plant richness and human land-use proportion. Bees will collect pollen from more plant species when they are in a natural and diverse landscape. Conclusions: Pollinator friendly crop areas must be planned to be surrounded by diverse natural nearby environments, guaranteeing yearlong pollen resources available for bees’ maintenance. © 2020, Springer Nature B.V.",Article,Scopus
"MacInnis G., Forrest J.R.K.","Field design can affect cross-pollination and crop yield in strawberry (Fragaria x ananassa D.)",2020,"Agriculture, Ecosystems and Environment","289",, 106738,"","",,"10.1016/j.agee.2019.106738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074701984&doi=10.1016%2fj.agee.2019.106738&partnerID=40&md5=9d9705d3886c58c01b0d4e5da2904dfc","The distance travelled by pollinators between successive flower visits can affect the quality of pollen transferred among plants. In cropping environments, especially monoculture systems, pollinators that travel between plants or rows may increase cross-pollination and consequently crop yield. However, the most commonly utilized crop pollinator, Apis mellifera L., tends to forage consecutively on nearest-neighbouring plants within rows. The level of cross-pollination can be further restricted in crops that are propagated by cloning. When a clonal variety is planted over large areas, the potential for outcrossed pollen deposition could be limited, regardless of pollinator flight distances. To investigate how pollinator movement and varietal diversity interact to affect crop pollination, we conducted an experiment with wild and honey bees in single- and multiple-variety strawberry fields. We hypothesized that the amount of cross-pollination provided by wild bees in multiple-variety strawberry fields would be greater than in single-variety fields, and greater than that provided by honey bees in either field type. We found that, indeed, flowers visited by wild bees produced larger strawberries than those visited by honey bees in multiple-variety plots, but only in the more self-incompatible of the two strawberry varieties tested. Strawberries resulting from honey bee pollination were of similar size regardless of the number of varieties planted in the field. Our results show that certain multiple-variety strawberry fields can benefit from the irregular foraging patterns of some solitary bee species, leading to increased cross-pollination and crop yield. Strawberry growers could take advantage of this effect by planting multiple varieties in close proximity and by supporting wild bee populations on farms. © 2019 Elsevier B.V.",Article,Scopus
"Morice B.D., Lord W.D., Barthell J.F., Jourdan T.H., Morris T.L.","Necrophagy in Honey Bees (Apis mellifera L.); A Forensic Application of Scent Foraging Behavior",2020,"Journal of the Kansas Entomological Society","92","2",,"423","431",,"10.2317/0022-8567-92.2.423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078353786&doi=10.2317%2f0022-8567-92.2.423&partnerID=40&md5=7f949ee622575839e2a882f19536362a","Scent training and field detection trials were conducted to determine if honey bee (Apis mellifera) foraging behavior could be employed as a practical application in the location of vertebrate carrion. Resource recognition and querying trials consisted of two components. Honey bees were trained to associate chemical compounds found in decaying tissues with a high-quality food source via introduction of the compounds into a sugar solution. Randomized scented and non-scented sugar solution choices were subsequently provided to hived bees at varying distances within a rural outdoor study area. Following initial forager recruitment by scouts, twice the number of bees were observed feeding at carrion-scented stations. Additional field trials performed using wildlife carrion reinforced experimental results. Scent trained scout bees showed a marked interest in decomposing wildlife remains by aerially investigating and landing on the carrion. These findings demonstrate honey bee retention of carrion sensory recognition capabilities and support the crabronid wasp hypothesis of honey bee evolutionary origins. Applications for forensic remains detection, wildlife trafficking interdiction, and endangered species conservation are indicated. © 2019 Kansas Entomological Society.",Article,Scopus
"Peng G., Tong S.-M., Zeng D., Xia Y., Feng M.-G.","Colony heating protects honey bee populations from a risk of contact with wide-spectrum Beauveria bassiana insecticides applied in the field",2020,"Pest Management Science",,,,"","",,"10.1002/ps.5803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081386830&doi=10.1002%2fps.5803&partnerID=40&md5=af0fa9bd52a7f59074874250d1125fb4","BACKGROUND: The safety of fungal insecticides to apiculture is a public concern but remains poorly understood. This study seeks to evaluate whether, how and why wide-spectrum Beauveria bassiana insecticides are safe to honey bees in a novel assessment system. RESULTS: Mesonotum dipping with a 108 conidia ml−1 suspension and body contact with conidial suspension in sucrose solution caused high mortalities of adult forager bees at 25 °C optimal for conidial germination and hyphal invasion. Intriguingly, colony sizes in the hives contaminated by the forager bees contacting viable and inactivated conidia at two sites (1.2 km in distance), respectively, showed similar increase percentages (31.7% versus 29.2%) during a 4-week summer period of exposure to environment. No sign of fungal infection was found within each of the monitored colonies. Neither was fungal outgrowth observed on surfaces of bee cadavers cleaned from each hive at either site. Hourly counts of cleaned cadavers from videotapes presented no significant difference in colony-cleaning behavior between the two sites. During the period, in-hive temperatures at both sites were persistently stabilized at approximately 35 °C, which abolished conidial germination and were far above the out-hive temperature range. CONCLUSION: It is colony heating that protects honey bee populations from a risk of forager bees' contact with formulated conidia applied for arthropod pest control. No role was detected for colony self-cleaning behavior in protecting the bee colonies from the risk. © 2020 Society of Chemical Industry. © 2020 Society of Chemical Industry",Article,Scopus
