Id,Genus,Subgenus,Specific epithet ,Location of measured specimen,Country,New record ,State ,Municipality,Day ,Month,Year,Location ,Sampling point,ITD,ITD average,Sex,Collector,Collection ID
1,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Minas Gerais,Catas altas,8,i,1999,Serra do Caraça,NA,1.6,1.8,Male,F. A. Silveira,NA
2,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Minas Gerais,Brumadinho,29,iii,1998,Serra da Moeda,NA,2,NA,Female,F. A. Silveira,NA
3,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Pará,Canaã dos Carajás,1,iii,2012,NA,NA,1.7,NA,Male,R. M.Carmo,UFMG-IHY 1312567
4,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Minas Gerais,Catas altas,8,i,1999,Serra do Caraça,NA,1.5,NA,Male,F. A. Silveira,NA
5,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Minas Gerais,Nova Lima,22,i,1998,Zona metalurgica,NA,2,NA,Female,E.A.B.Almeida,1992-6081
6,Acanthopus,NA,palmatus,MPEG,Brasil,no,Pará,Benevides,29,vii,1981,NA,NA,5,5.1,Female,CN Arcanjo,MPEG-HYM11131016
7,Acanthopus,NA,palmatus,MPEG,Brasil,no,Pará,Bujaru,29,xii,1983,NA,NA,5.3,NA,Female,LB Albuquerque,MPEG-HYM11131015
8,Acanthopus,NA,palmatus,MPEG,Brasil,no,Pará,Parauapebas,21,vi,1985,Serra Norte,pojuca,4.8,NA,Male,J Dias,MPEG-HYM11131013
9,Acanthopus,NA,palmatus,MPEG,Brasil,yes,Goiás,São Domingos,27,ix,1993,NA,NA,5.3,NA,Female,D Pimentel,MPEG-HYM11131021
10,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,xi,2004,NA,NA,2.3,2.2,Female,NA,UFMG IHY 33820
11,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,Brumadinho,26,iv,1998,NA,NA,2.2,NA,Female,E.A.B.Almeida; Guimarães,UFMG IHY 7058
12,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,São Gonçalo do Rio Abaixo,17,i,2004,NA,NA,2.1,NA,Female,C.F.Cardoso,UFMG IHY 29194
13,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,xi,2004,NA,NA,2,NA,Female,NA,UFMG IHY 33838
14,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,xi,2004,NA,NA,2.4,NA,Female,NA,UFMG IHY 33848
15,Aglae,NA,caerulea,UFMG,Brasil,yes,Rondônia,Porto Velho,5,xii,2011,Vila do Teotônio,NA,4.9,5.1,Female,J.E.Santos Jr,25889-76212
16,Aglae,NA,caerulea,UFMG,Brasil,yes,Mato Grosso,Serra de São Vicente,6,xii,2012,NA,NA,5,NA,Male,M.P.Guimarães,UFMG IHY 1403210
17,Aglae,NA,caerulea,UFMG,Brasil,no,Pará,Parauapebas,30,i,2009,Serra Norte,NA,4.7,NA,Male,L.Bandeira,UFMG IHY 1318376
18,Aglae,NA,caerulea,UFMG,Brasil,yes,Rondônia,Chupinguaia,10,i,2011,modulo 3 parcela 3,NA,5.4,NA,Female,R.M.C.Silveira,UFMG 53251
19,Aglae,NA,caerulea,UFMG,Brasil,no,Pará,Parauapebas,30,i,2009,Serra Norte,NA,5.7,NA,Female,F.A.Silveira,UFMG IHY 1318377
20,Alepidosceles,NA,imitatrix,UFMG,Brasil,yes,Pará,Canaã dos Carajás,14,ii,2015,NA,NA,2.6,2.5,Female,A. Cordeiro,UFMG-IHY 1500920
21,Alepidosceles,NA,imitatrix,UFMG,Brasil,yes,Pará,Canaã dos Carajás,14,ii,2015,NA,NA,2.3,NA,Female,A. Cordeiro,UFMG-IHY 1500921
22,Alepidosceles,NA,imitatrix,UFMG,Brasil,yes,Pará,Canaã dos Carajás,14,ii,2015,NA,NA,2.6,NA,Female,A. Cordeiro,UFMG-IHY 1500891
23,Alepidosceles,NA,imitatrix,UFMG,Brasil,yes,Bahia,Barreiras,8,v,2005,NA,NA,2.5,NA,Female,J. Batista,UFMG-IHY 1523273
24,Alepidosceles,NA,imitatrix,UFMG,Brasil,no,Mato Grosso,Rondonópolis,17,ii,2005,NA,NA,2.3,NA,Female,C.S.S.Pires,UFMG-IHY 1523405
25,Ancyloscelis,NA,apiformis,UFMG,Brasil,no,Pará,Canaã dos Carajás,20,vi,2013,NA,NA,2.7,2,Female,R.B.Martines,UFMG-IHY 1313334
26,Ancyloscelis,NA,apiformis,UFMG,Brasil,no,Pará,Canaã dos Carajás,22,vi,2013,NA,NA,2,NA,Female,R.M. Carmo,UFMG-IHY 1313564
27,Ancyloscelis,NA,apiformis,UFMG,Brasil,no,Pará,Canaã dos Carajás,20,vi,2013,NA,NA,1.8,NA,Male,R.B.Martines,UFMG-IHY 1313333
28,Ancyloscelis,NA,apiformis,UFMG,Brasil,yes,Minas Gerais,Nova Lima,5,iii,1999,NA,NA,1.8,NA,Male,M. Pompeu,NA
29,Ancyloscelis,NA,apiformis,UFMG,Brasil,yes,Minas Gerais,Nova Lima,10,iv,1999,NA,NA,1.8,NA,Male,M. Pompeu,NA
30,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Paraná,Ponta Grossa,23,xi,2001,NA,NA,3.8,3.6,Female,E.A.B.Almeida,UFMG IHY 23176
31,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Minas Gerais,Camanducaia,12,v,2004,NA,NA,3.8,NA,Female,F.A.Silveira,UFMG IHY 32201
32,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Minas Gerais,Camanducaia,12,v,2004,NA,NA,3.6,NA,Female,F.A.Silveira,UFMG IHY 32201
33,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Minas Gerais,Camanducaia,12,v,2004,NA,NA,3.5,NA,Female,F.A.Silveira,UFMG IHY 32209
34,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Minas Gerais,Brumadinho,21,xii,2011,NA,NA,3.5,NA,Female,NA,UFMG-IHY 1414532
35,Aparatrigona,NA,impunctata,MPEG,Brasil,no,Pará,Parauapebas,6,ix,1985,Serra Norte,Manganês,1.5,1.5,Female,FF Ramos,MPEG-HYM11003519
