Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Document Type,Source,Relevant,Region,Country,Habitat,Family,Genus species,Sex,ITD,Eusociality,Nesting,Lecty,Metric,N,distance_type,Distance,SD,SE,CI_95,Foraging trips cease (km),Communication ceases (km),Notes,follow_up
Abrol (1986),,1986,,,,,,,,,,,,GZ,,,,,Megachilidae,Megachile femorata,NA,,,,,homing,10,Max,500,,,,,Homing distance,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,Asia,India,Agriculture,Megachilidae,Megachile flavipes,NA,2.9,,,,homing,,Max,800,,,,,,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,Asia,India,Agriculture,Megachilidae,Megachile flavipes,NA,2.9,,,,homing,,Typical,500,,,,,,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,Asia,India,Agriculture,Megachilidae,Megachile nana,NA,1.9,,,,homing,,Max,600,,,,,,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,Asia,India,Agriculture,Megachilidae,Megachile nana,NA,1.9,,,,homing,,Typical,400,,,,,,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,,,,Apidae,Apis florea,NA,,Social,,Polylectic,mark recapture,NA,Max,500,,,,,Foraging distance,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,,,,Apidae,Apis florea,Female,1.8,Social,,Polylectic,NA,,Mean,500,,,,,Observed distance - not sure if mean or max,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,,,,Megachilidae,Megachile flavipes,NA,,,,,mark recapture,NA,Max,500,,,,,Foraging distance,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,,,,Megachilidae,Megachile flavipes,Female,2.2,,,,NFA,,Mean,700,,,,,Observed distance - not sure if mean or max,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,,,,Megachilidae,Megachile flavipes,NA,,,,,homing,20,Max,800,,,,,Homing distance,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,,,,Megachilidae,Megachile nana,NA,,,,,mark recapture,NA,Max,750,,,,,Foraging distance,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,,,,Megachilidae,Megachile nana,Female,1.9,,,,NFA,,Mean,800,,,,,Observed distance - not sure if mean or max,no_access_LK,
Abrol (1988),,1988,,,,,,,,,,,,GZ,,,,,Megachilidae,Megachile nana,NA,,,,,homing,20,Max,650,,,,,Homing distance,no_access_LK,
Amand et al. (2000),,2000,,,,,,,,,,,,GZ,,North America,USA,Agriculture,Megachilidae,Megachile spp.,Female,,,,,pollen mapping,NA,Max,1000,,,,,Foraging distance,yes_pdf,
Appanah (1979) in Appanah (1982),,1979,,,,,,,,,,,,GZ,,Asia,Malaysia,rainforest,Apidae,Heterotrigona erythrogastra,Female,1.6,Social,,Polylectic,NA,,Max,1100,,,,,"Although recent studies reveal T. eythrogastra to forage up to 1100 m to some Elaeis palms outside the forest (Appanah, 1979b)",yes_pdf,
Araujo et al. (2004),,2004,,,,,,,,,,,,additional,,Central America,Panama,forest,Apidae,Cephalotrigona capitata,Female,,Social,,Polylectic,mark recapture,,Max,1650,,,,,Source: Roubik & Aluja (1983) - Mean provided by Greenleaf,Check source,
Araujo et al. (2004),,2004,,,,,,,,,,,,GZ,,South America,Brazil,NA,Apidae,Melipona compressipes,Female,,Social,,Polylectic,mark recapture,NA,Max,2470,,,,,Source: Kerr (1987),Check source,
Araujo et al. (2004),,2004,,,,,,,,,,,,GZ,,South America,NA,NA,Apidae,Melipona marginata,Female,,Social,,Polylectic,mark recapture,NA,Max,800,,,,,Source: Wille (1983),Check source,
Araujo et al. (2004),,2004,,,,,,,,,,,,GZ,,South America,Brazil,NA,Apidae,Melipona quadrifasciata,Female,,Social,,Polylectic,mark recapture,NA,Max,2000,,,,,Source: Kerr (1987),Check source,
Araujo et al. (2004),,2004,,,,,,,,,,,,GZ,,South America,Brazil,NA,Apidae,Plebeia droryana,Female,,Social,,Polylectic,mark recapture,NA,Max,540,,,,,Source: Kerr (1987),Check source,
Araujo et al. (2004),,2004,,,,,,,,,,,,GZ,,South America,Brazil,NA,Apidae,Trigona spinipes,Female,,Social,,Polylectic,mark recapture,NA,Max,840,,,,,Source: Kerr (1987),Check source,
Bacon et al. (1965),,1965,,,,,,,,,,,,GZ,,,,,Megachilidae,Megachile rotundata,Female,2.4,,,,mark recapture,,Mean,200,,,,,Observed distance - not sure if mean or max,no_access_LK,
"Bansch S., Tscharntke T., Ratnieks F.L.W., HÃ¤rtel S., Westphal C.",Foraging of honey bees in agricultural landscapes with changing patterns of flower resources,2020,"Agriculture, Ecosystems and Environment",291,,106792,,,,10.1016/j.agee.2019.106792,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076557011&doi=10.1016%2fj.agee.2019.106792&partnerID=40&md5=db3d108243a06256ab77978430cd0242,"The demand for crop pollination is increasing and honey bees are frequently used, in particular as wild pollinators are in decline. Temporal and spatial variation of flower resources affects foraging decisions of wild and honey bees. To optimise crop pollination management a better understanding of potential competition for pollinators in mass- and minor-flowering crops is needed. We combined waggle dance decoding, pollen load analysis and field surveys to identify the habitat preferences and pollen use of honey bees in response to spatio-temporal changes in resource availability. Observation hives were placed on the edge of eleven fields of blooming strawberries (mean 2.24 ha) located in landscapes with different amounts of oilseed rape (OSR), semi-natural habitats (SNH) and apple trees in Germany. In addition, we surveyed honey bees and wild bees in strawberry fields. Honey bee dances more often indicated strawberry, OSR fields and SNH than expected given their landscape-wide areas. Honey bees collected on average 7.9 % strawberry, 49.0 % OSR, 30.2 % Pyrus type (e.g. apple) and 12.9 % other pollen types. The mean honey bee foraging distance was 740 m, and decreased with OSR availability. In the observation hives, dances for strawberry fields were not directly affected by OSR availability or SNH land cover. But large amounts of OSR reduced overall honey bee and bumble bee abundance in strawberry fields, while solitary bees were unaffected. Bumble bees were most abundant in strawberry fields (54.1%) and together with solitary bees (19.7%) they represented about 75.0% of the observed bees. Minor-flowering strawberry fields represent a preferred resource for honey bees, especially for small colonies as indicated by decoding of waggle dances. However, the availability of more attractive OSR and local strawberry flower cover moderates the abundance of social bees (honey bees and bumble bees) in strawberry fields while other wild bees were less affected. Hence, we conclude that wild bee conservation plays a major role for strawberry pollination. If pollination services by solitary bees are limited, small honey bee hives can be used scrupulously to supplement pollination services in strawberries. Â© 2019 Elsevier B.V.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,784,Max,7783,,,,,,,
"Bansch S., Tscharntke T., Ratnieks F.L.W., HÃ¤rtel S., Westphal C.",Foraging of honey bees in agricultural landscapes with changing patterns of flower resources,2020,"Agriculture, Ecosystems and Environment",291,,106792,,,,10.1016/j.agee.2019.106792,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076557011&doi=10.1016%2fj.agee.2019.106792&partnerID=40&md5=db3d108243a06256ab77978430cd0242,"The demand for crop pollination is increasing and honey bees are frequently used, in particular as wild pollinators are in decline. Temporal and spatial variation of flower resources affects foraging decisions of wild and honey bees. To optimise crop pollination management a better understanding of potential competition for pollinators in mass- and minor-flowering crops is needed. We combined waggle dance decoding, pollen load analysis and field surveys to identify the habitat preferences and pollen use of honey bees in response to spatio-temporal changes in resource availability. Observation hives were placed on the edge of eleven fields of blooming strawberries (mean 2.24 ha) located in landscapes with different amounts of oilseed rape (OSR), semi-natural habitats (SNH) and apple trees in Germany. In addition, we surveyed honey bees and wild bees in strawberry fields. Honey bee dances more often indicated strawberry, OSR fields and SNH than expected given their landscape-wide areas. Honey bees collected on average 7.9 % strawberry, 49.0 % OSR, 30.2 % Pyrus type (e.g. apple) and 12.9 % other pollen types. The mean honey bee foraging distance was 740 m, and decreased with OSR availability. In the observation hives, dances for strawberry fields were not directly affected by OSR availability or SNH land cover. But large amounts of OSR reduced overall honey bee and bumble bee abundance in strawberry fields, while solitary bees were unaffected. Bumble bees were most abundant in strawberry fields (54.1%) and together with solitary bees (19.7%) they represented about 75.0% of the observed bees. Minor-flowering strawberry fields represent a preferred resource for honey bees, especially for small colonies as indicated by decoding of waggle dances. However, the availability of more attractive OSR and local strawberry flower cover moderates the abundance of social bees (honey bees and bumble bees) in strawberry fields while other wild bees were less affected. Hence, we conclude that wild bee conservation plays a major role for strawberry pollination. If pollination services by solitary bees are limited, small honey bee hives can be used scrupulously to supplement pollination services in strawberries. Â© 2019 Elsevier B.V.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,784,Mean,740,,26,,,,,
Beekman and Ratnieks (2000),,2000,,,,,,,,,,,,GZ,,Europe,UK,moor,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,444,Max,14500,,,,,August_96,yes_pdf,
Beekman and Ratnieks (2000),,2000,,,,,,,,,,,,GZ,,Europe,UK,moor,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,456,Max,8500,,,,,May_97,yes_pdf,
Beekman and Ratnieks (2000),,2000,,,,,,,,,,,,GZ,,Europe,UK,moor,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,444,Mean,5500,,,,,August_96,yes_pdf,
Beekman and Ratnieks (2000),,2000,,,,,,,,,,,,GZ,,Europe,UK,moor,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,456,Mean,1000,,,,,May_97,yes_pdf,
Beekman and Ratnieks (2000),,2000,,,,,,,,,,,,GZ,,Europe,UK,moor,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,444,Median,6100,,,,,August_96,yes_pdf,
Beekman and Ratnieks (2000),,2000,,,,,,,,,,,,GZ,,Europe,UK,moor,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,456,Median,680,,,,,May_97,yes_pdf,
Beekman et al. (2004),,2004,,,,,,,,,,,,additional,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,119,Mean,620,,,,,,L1 JULY,
Beekman et al. (2004),,2004,,,,,,,,,,,,additional,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,93,Mean,620,,,,,,L2 JULY,
Beekman et al. (2004),,2004,,,,,,,,,,,,additional,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,36,Mean,670,,,,,,S1 JULY,
