_id,species,date,year,month,day,country,lat,lon,locationDescription,taxonomist,collector,doi,dataset,credit,contributors,it,se_it,n_it,sex,n_sex,m_fresh_mass,n_fresh_mass,m_tongue_length,se_tongue_length,n_tongue_length,m_nest_site,m_sociality,m_parasitism,m_voltinism,m_floral_specialization,m_nest_location,m_nest_construction,m_plant_genus,m_plant_species,m_dry_mass
5b7c3d59e12f31000f080f00,Andrena barbilabris,1891-05-29T00:00:00.000Z,1891,5,29,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.3,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f03,Andrena barbilabris,1886-05-18T00:00:00.000Z,1886,5,18,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.6,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f06,Andrena barbilabris,1898-05-05T00:00:00.000Z,1898,5,5,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.3,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f09,Andrena barbilabris,1895-04-21T00:00:00.000Z,1895,4,21,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.5,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f0c,Andrena barbilabris,1894-06-17T00:00:00.000Z,1894,6,17,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.5,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f0f,Andrena barbilabris,1884-06-08T00:00:00.000Z,1884,6,8,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.3,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f12,Andrena barbilabris,1886-05-03T00:00:00.000Z,1886,5,3,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.4,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f15,Andrena barbilabris,1895-04-21T00:00:00.000Z,1895,4,21,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.5,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f18,Andrena barbilabris,1884-05-15T00:00:00.000Z,1884,5,15,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.5,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f1b,Andrena barbilabris,1895-05-05T00:00:00.000Z,1895,5,5,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.1,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f1e,Andrena barbilabris,1895-04-21T00:00:00.000Z,1895,4,21,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.3,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f21,Andrena barbilabris,1877-06-05T00:00:00.000Z,1877,6,5,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.2,,1,female,1,,,,,,,,,,,,,,,
5b7c3d59e12f31000f080f24,Andrena barbilabris,1899-06-07T00:00:00.000Z,1899,6,7,Netherlands,,,,,,10.1371/journal.pone.0148983,Oliveira_2016,,D Kleijn; MO Oliveira; BM Freitas; J Scheper,2.3,,1,female,1,,,,,,,,,,,,,,,
