Family,Genus.species,ITD,Eusociality,Nesting,Lecty,Notes,Source,Extra
Andrenidae,Andrena_barbilabris,2.1,Solitary,,,,,
Andrenidae,Andrena_carbonaria,4.37,Solitary,,,,Nacho,https://www.sciencedirect.com/science/article/pii/S1467803920300104?casa_token=15Vq1PTdTL8AAAAA:QQgpbMdu02i5C39Liitw7KDbiRLhVn6lvfqMMo-oD7E4KjTNsQE7tHsSpI6j1b1d-Uf0bqMITQ
Andrenidae,Andrena_cineraria,3,Solitary,,,,,
Andrenidae,Andrena_clarkella,3.1,Solitary,,,,,
Andrenidae,Andrena_dorsata,2.16316667,Solitary,,,,,
Andrenidae,Andrena_flavipes,2.2,Solitary,,,,,
Andrenidae,Andrena_hattorfiana,4.26,Solitary,,Oligolectic,,https://www.sciencedirect.com/science/article/pii/S1467803920300104?casa_token=t4lOolhvPmoAAAAA:9DAUhc-p6Igh3oHrJk_QtEs8iHLKJ8Dq-ncpHmGmpqXFnpn_n14oePQ6NXLnZsRbl_e0A6RuLwg,Female
Andrenidae,Andrena_vaga,2.8,Solitary,,,,,
Andrenidae,Macrotera_texana,2.3,Solitary,,,,,
Andrenidae,Panurgus_banksianus,2.2,Solitary,,,,,
Apidae,Anthophora_abrupta,3.9,Solitary,,,,,
Apidae,Anthophora_fulvitarsis,4.9,Solitary,,,,,
Apidae,Anthophora_linsleyi,3.6,Solitary,,,,,
Apidae,Apis_cerana,2.7,Social,,Polylectic,,,
Apidae,Apis_dorsata,2.7,Social,,Polylectic,,,
Apidae,Apis_florea,1.8,Social,,Polylectic,,,
Apidae,Apis_mellifera,3.3,Social,,Polylectic,,,
Apidae,Bombus_balteatus,3.7,Social,,Polylectic,"3.7-worker, 5.76-queen",https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.65,
Apidae,Bombus_bifarius,NA,Social,,Polylectic,,John,
Apidae,Bombus_distinguendus,NA,Social,,Polylectic,,,
Apidae,Bombus_flavifrons,NA,Social,,Polylectic,,,
Apidae,Bombus_hortorum,4.21712201,Social,,Polylectic,,,
Apidae,Bombus_humilis,3.9515,Social,,Polylectic,,,
Apidae,Bombus_hypnorum,3.95273913,Social,,Polylectic,,,
Apidae,Bombus_impatiens,3.94930509,Social,,Polylectic,,,
Apidae,Bombus_lapidarius,4.1,Social,,Polylectic,,,
Apidae,Bombus_lucorum,3.6,Social,,Polylectic,,,
Apidae,Bombus_muscorum,NA,Social,,Polylectic,,Nacho,
Apidae,Bombus_pascuorum,5.2,Social,,Polylectic,,,
Apidae,Bombus_pratorum,5.1,Social,,Polylectic,,,
Apidae,Bombus_ruderatus,NA,Social,,Polylectic,,Nacho,
Apidae,Bombus_sylvarum,4.685375,Social,,Polylectic,,,
Apidae,Bombus_sylvicola,3.18,Social,,Polylectic,"3.18-worker, 4.14-queen",https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.65,
Apidae,Bombus_terrestris,3.5,Social,,Polylectic,,,
