Authors;Year;Region;Country;Habitat;Family;Genus_species;Sex;Sex_Imp;Metric;N;distance_type;Distance;SD;SE;CI_95;Foraging trips cease (km);Communication ceases (km);Notes;follow_up
Abrol (1986);1986;;;;Megachilidae;Megachile_femorata;NA;Female;homing;10;Max;500;;;;;Homing distance;no_access_LK;
Abrol (1988);1988;Asia;India;Agriculture;Megachilidae;Megachile_flavipes;NA;Female;homing;;Max;800;;;;;;no_access_LK;
Abrol (1988);1988;Asia;India;Agriculture;Megachilidae;Megachile_flavipes;NA;Female;homing;;Typical;500;;;;;;no_access_LK;
Abrol (1988);1988;Asia;India;Agriculture;Megachilidae;Megachile_nana;NA;Female;homing;;Max;600;;;;;;no_access_LK;
Abrol (1988);1988;Asia;India;Agriculture;Megachilidae;Megachile_nana;NA;Female;homing;;Typical;400;;;;;;no_access_LK;
Abrol (1988);1988;;;;Megachilidae;Megachile_flavipes;NA;Female;homing;20;Max;800;;;;;Homing distance;no_access_LK;
Abrol (1988);1988;;;;Megachilidae;Megachile_nana;NA;Female;homing;20;Max;650;;;;;Homing distance;no_access_LK;
Abrol (1988);1988;;;;Apidae;Apis_florea;NA;Female;mark recapture;NA;Max;500;;;;;Foraging distance;no_access_LK;
Abrol (1988);1988;;;;Megachilidae;Megachile_flavipes;NA;Female;mark recapture;NA;Max;500;;;;;Foraging distance;no_access_LK;
Abrol (1988);1988;;;;Megachilidae;Megachile_nana;NA;Female;mark recapture;NA;Max;750;;;;;Foraging distance;no_access_LK;
Abrol (1988);1988;;;;Apidae;Apis_florea;Female;Female;NA;;Mean;500;;;;;Observed distance - not sure if mean or max;no_access_LK;
Abrol (1988);1988;;;;Megachilidae;Megachile_flavipes;Female;Female;NFA;;Mean;700;;;;;Observed distance - not sure if mean or max;no_access_LK;
Abrol (1988);1988;;;;Megachilidae;Megachile_nana;Female;Female;NFA;;Mean;800;;;;;Observed distance - not sure if mean or max;no_access_LK;
Amand et al. (2000);2000;North America;USA;Agriculture;Megachilidae;Megachile_rotundata;Female;Female;pollen mapping;NA;Max;1000;;;;;Foraging distance;yes_pdf;assumed rotundata as alfalfa'
Appanah (1979) in Appanah (1982);1979;Asia;Malaysia;rainforest;Apidae;Heterotrigona_erythrogastra;Female;Female;NA;;Max;1100;;;;;Although recent studies reveal T. eythrogastra to forage up to 1100 m to some Elaeis palms outside the forest (Appanah, 1979b);yes_pdf;
Araujo et al. (2004);2004;Central America;Panama;forest;Apidae;Cephalotrigona_capitata;Female;Female;mark recapture;;Max;1650;;;;;Source: Roubik & Aluja (1983) - Mean provided by Greenleaf;Check source;
Araujo et al. (2004);2004;South America;Brazil;NA;Apidae;Melipona_fasciculata;Female;Female;mark recapture;NA;Max;2470;;;;;Source: Kerr (1987);Check source;
