Family;Genus_species;ITD;social_two;social_tree;Nesting;Lecty
Andrenidae;Andrena_barbilabris;2,1;Solitary;Solitary;Ground;Polylectic
Andrenidae;Andrena_pilipes;4,33;Solitary;Solitary;Ground;Polylectic
Andrenidae;Andrena_cineraria;3;Solitary;Solitary;Ground;Polylectic
Andrenidae;Andrena_clarkella;3,1;Solitary;Solitary;Ground;Oligolectic
Andrenidae;Andrena_dorsata;2,16;Solitary;Solitary;Ground;Polylectic
Andrenidae;Andrena_flavipes;2,2;Solitary;Solitary;Ground;Polylectic
Andrenidae;Andrena_hattorfiana;4,26;Solitary;Solitary;Ground;Oligolectic
Andrenidae;Andrena_vaga;2,8;Solitary;Solitary;Ground;Oligolectic
Andrenidae;Macrotera_texana;2,3;Solitary;Solitary;Ground;Oligolectic
Andrenidae;Panurgus_banksianus;2,2;Solitary;Solitary;Ground;Oligolectic
Apidae;Anthophora_abrupta;3,9;Solitary;Solitary;Ground;Polylectic
Apidae;Anthophora_fulvitarsis;4,9;Solitary;Solitary;Ground;Polylectic
Apidae;Anthophora_linsleyi;3,6;Solitary;Solitary;Ground;Polylectic
Apidae;Apis_cerana;2,7;Eusocial;Highly Eusocial;Hive;Polylectic
Apidae;Apis_dorsata;2,7;Eusocial;Highly Eusocial;Hive;Polylectic
Apidae;Apis_florea;1,8;Eusocial;Highly Eusocial;Hive;Polylectic
Apidae;Apis_mellifera;3,3;Eusocial;Highly Eusocial;Hive;Polylectic
Apidae;Bombus_balteatus;3,7;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_bifarius;2,94;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_distinguendus;5,36;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_flavifrons;3,39;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_hortorum;4,56;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_humilis;4,77;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_hypnorum;4,02;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_impatiens;3,38;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_lapidarius;4,21;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_lucorum;4,12;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_muscorum;3,1;Eusocial;Primitively Eusocial;Hive;Polylectic
Apidae;Bombus_pascuorum;4,41;Eusocial;Primitively Eusocial;Hive;Polylectic
