"","Authors","Title","Year","Source.title","DOI","Abstract","Title2","Abstract2"
"235","[No author name available]","2017 asian conference on energy, power and transportation electrification, acept 2017",2017,"2017 Asian Conference on Energy, Power and Transportation Electrification, ACEPT 2017","","The proceedings contain 87 papers. The topics discussed include: allowable capacity calculation of distributed generation in different distribution network; probabilistic analysis of maximum allowable pv connections across bidirectional feeders within a distribution network; voltage enhancement by basic active power curtailment of low-voltage grid-connected pv systems in view of complex power flow theories and real world testing and measurement results; on the self starting of darrieus turbine: an experimental investigation with secondary rotor; artificial bee colony based optimal allocation of micro-turbines for voltage stability improvement of distribution systems; additive manufacturing process towards wind turbine components; influence of boundary condition assumption on thermoelectric generator geometry design; implementation of DC/DC converter with high frequency transformer (DHFT) in hybrid AC/DC microgrid; a DC microgrid integrated dynamic voltage restorer with model predictive control; thermal management system design for batteries packs of electric vehicles: a survey; modified strong tracking cubature Kalman filter for LiFePO4 storage system; a variable duty cycle pulse train charger for improving lead-acid battery performance; and optimal depth-of-discharge range and capacity settings for battery energy storage in microgrid operation.","2017 asian conference on energy, power and transportation electrification, acept","The proceedings contain 87 papers. The topics discussed include: allowable"
"316","[No author name available]","proceedings - 2016 12th international conference on semantics, knowledge and grids, skg 2016",2017,"Proceedings - 2016 12th International Conference on Semantics, Knowledge and Grids, SKG 2016","","The proceedings contain 29 papers. The topics discussed include: density peaks based clustering algorithm for overlapping community detection; using constraint-based reasoning for multi-objective optimisation of the ENTICE environment; computational modeling of the individualized knowledge building in a constructivist way; a big data processing framework for self-healing internet of things applications; UCDC: unlimited content-defined chunking, a file-differing method apply to file-synchronization among multiple hosts; automatic question answering based on single document; combining statistical information and distance computation for k-means initialization; improving collaborative filtering algorithms; high level event identification in social media; combining nonlinear dimension reduction and hashing method for efficient image retrieval; Bayesian network-based approach for mining actionable behavioral rules; hybrid artificial bee colony algorithm based on cuckoo search strategy; element-level clustering of feature vectors considering correlations for analyzing image data; ranking scientific articles in a dynamically evolving citation network; BCISearch: a searching platform of breast cancer text mining for biomedical literature; the fault prediction base on data-driven method in the tracking, telemetry and command system; and an efficient storage model of tree-like structure in MongoDB.","proceedings - 2016 12th international conference on semantics, knowledge and","The proceedings contain 29 papers. The topics discussed include: density"
"328","[No author name available]","proceedings of the annual conference of the international speech communication association, interspeech",2017,"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH","","The proceedings contain 835 papers. The topics discussed include: an RNN model of text normalization; factors affecting the intelligibility of low-pass filtered speech; a new cosine series antialiasing function and its application to aliasing-free glottal source models for speech and singing synthesis; phonetic restoration of temporally reversed speech; cross-linguistic distinctions between professional and non-professional speaking styles; uniform multilingual multi-speaker acoustic model for statistical parametric speech synthesis of low-resourced languages; on the duration of Mandarin tones; a comparison of Danish listeners' processing cost in judging the truth value of Norwegian, Swedish, and English sentences; sinusoidal partials tracking for singing analysis using the heuristic of the minimal frequency and magnitude difference; clear speech - mere speech? how segmental and prosodic speech reduction shape the impression that speakers create on listeners; predicting automatic speech recognition performance over communication channels from instrumental speech quality and intelligibility scores; improving YANGsaf F0 estimator with adaptive Kalman filter; float like a butterfly sting like a bee: changes in speech preceded parkinsonism diagnosis for Muhammad Ali; dialect perception by older children; step-size control for acoustic feedback cancellation based on the detection of reverberant signal periods and the estimated system distance; pronunciation learning with RNN-transducers; end-to-end language identification using high-order utterance representation with bilinear pooling; the INTERSPEECH 2017 computational paralinguistics challenge: addressee, cold & snoring; and improved subword modeling for WFST-based speech recognition.","proceedings of the annual conference of the international speech communication","The proceedings contain 835 papers. The topics discussed include: an"
"414","[No author name available]","6th international conference on swarm, evolutionary and memetic computing conference, semcco 2015",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","The proceedings contain 24 papers. The special focus in this conference is on Swarm, Evolutionary and Memetic Computing. The topics include: Self-adaptive ensemble differential evolution with sampled parameter values for unit commitment; visual cryptography based lossless watermarking for sensitive images; a hybrid EMD-ANN model for stock price prediction; an improved quantum inspired immune clone optimization algorithm; diagnosis of Parkinson disease patients using Egyptian vulture optimization algorithm; variance based particle swarm optimization for function optimization and feature selection; analysis of next-generation sequencing data of mirna for the prediction of breast cancer; genetic algorithm based speed control of electric vehicle with electronic differential; an ant colony optimization approach for the dominating tree problem; particle swarm optimization for the deployment of directional sensors; robot workcell layout optimization using firefly algorithm; particle swarm optimization based on the winner’s strategy; black hole artificial bee colony algorithm; optimum clustering of active distribution networks using back tracking search algorithm; energy efficient clustering for wireless sensor networks; a gravitational search algorithm; hybridizing cuckoo search with bio-inspired algorithms for constrained optimization problems and a hybrid genetic algorithm using dynamic distance in mutation operator for solving MSA problem.","6th international conference on swarm, evolutionary and memetic computing conference,","The proceedings contain 24 papers. The special focus in this"
"746","[No author name available]","2011 international conference on intelligent computing and information science, icicis 2011",2011,"Communications in Computer and Information Science","","The proceedings contain 114 papers. The special focus in this conference is on Computing and Information Science. The topics include: Some analysis and research of the adaboost algorithm; simulation the heat flow field in cooler of rotary calcining kiln; a weighted combination method of target identity identification; fault diagnosis of power transformer based on BP combined with genetic algorithm; fault diagnosis of rolling bearing based on lyapunov exponents; new encryption scheme of one-time pad based on KDC; technology barriers analysis on bearing industry based on relational matrix method; a new co-training approach based on SVM for image retrieval; recognizing human activities using non-linear SVM decision tree; research on logistics service providers selection based on AHP and VIKOR; research on digitized scenario for tactical internet simulative training; numerical simulation for the Timoshenko beam equations with boundary feedback; construction and development of CRM technology and industry chain in China; multi scale adaptive median filter for impulsive noise removal; apply ensemble of lazy learners to biomedical data mining; identification of network traffic based on radial basis function neural network; thermal hotspots in CPU die and it's future architecture; chaotic artificial bee colony used for cluster analysis; correction method for photoelectric theodolite measure error based on BP neural network; design of firmware update strategy in tower mounted amplifier; applying fuzzy data mining to telecom churn management; towards a pre-computed relation matrix for semantic web service; precise localization of facial features based on cascade fusion; multi scale toggle contrast operator based image analysis; prototype design and motion analysis of a spherical robot; an algorithm of fast mining frequent neighboring class set; research and development trends of car networking; a research on MIMO radar based on simulation; hard-failure diagnosis using self-tuning kalman filter; research on the structure transformation of landing craft; a novel block encryption based on chaotic map; fuzzy evaluating customer satisfaction of jet fuel companies; the research of the BDAR for ATS; secure biometric E-voting scheme; an energy aware ant colony algorithm for the routing of wireless sensor networks; performance analysis of cooperative virtual laboratory based on web; numerical simulation of gas leaking diffusion from storage tank; a service access security control model in cyberspace; a motor speed measurement system based on hall sensor; key curriculum reform research on numerical analysis; a new adaptive deformable model using gradient vector flow; a comparative study of different distances for similarity estimation; distribution network information system of Jiaozuo based on arcobject; computational simulation of submarine oil spill with current; an adaptive multi-agent system for project schedule management; a novel framework to maximum lifetime for wireless sensor network; bacteria foraging based agent feature selection algorithm; simulation of a signalized intersection delay model; application of Bayesian networks in situation assessment; a survey on social image mining; an IPv6 multihomed host for outbound traffic; a new practical electric vehicle battery management system; fuzzy comprehensive evaluation of peak load unit based on entropy weight; the overview of entity relation extraction methods and detailed design and analysis on error handing and controlling protocol in mobile payment.","2011 international conference on intelligent computing and information science, icicis","The proceedings contain 114 papers. The special focus in this"
"1635","Abbate, A; Campbell, JW; Kimmel, CB; Kern, WH","urban development decreases bee abundance and diversity within coastal dune systems",2019,"GLOBAL ECOLOGY AND CONSERVATION","10.1016/j.gecco.2019.e00711","Globally, coastal human population density is approximately three times than that of inland areas. Such development threatens the integrity of coastal ecosystems. Coastal dune systems contain unique sets of terrestrial invertebrates and native plants, and represent some of the last remaining areas of semi-natural habitats along the coasts. In our study, we monitored bee and flowering plant abundance and diversity within coastal dune systems located within protected lands and developed sites throughout South and Central Florida. Our aim was to assess the potential impacts dune degradation and development could have on these economically and ecologically important insects. A total of 5419 bees from 5 families and 56 taxa were captured using bowl traps. Halictidae accounted for 70% of all bees collected, followed by Apidae (28%), Megachilidae (2%), Andrenidae (0.1%) and Colletidae (0.07%). Both species richness and Shannon-Wiener diversity indices were higher in protected lands when compared with developed sites. A majority of the commonly collected bee species showed higher abundances in protected lands compared with developed sites. Protected lands also supported higher abundances of ground, wood, and tunnel-nesting bees when compared with developed sites. Bee species richness and Shannon-Wiener indices were lower in sites with greater percentages of development occurring within close proximity to the dune systems, and higher in sites with greater availability of dune coverage. We observed higher abundance and flowering plant species richness within protected lands when compared with developed sites; protected lands also supported more federally endangered/threatened or state protected plant species compared with developed sites. Overall, coastal dune systems are ecologically important bee sanctuaries and should be conserved to help sustain native bee communities and the flowering plants that occur within them. (c) 2019 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).","urban development decreases bee abundance and diversity within coastal dune","Globally, coastal human population density is approximately three times than"
"572","Abdellahi M., Bahmanpour M., Bahmanpour M.","the use of artificial bee colony algorithm to speed up the nanopowders synthesis during high energy ball milling",2014,"Powder Technology","10.1016/j.powtec.2014.05.014","The purpose of the present paper is to use artificial bee colony algorithm to speed up the nanopowders synthesis in the planetary mills. At first a direct relationship between the inverse of the milling time and the power of the planetary mill was established, which allows the validation of theoretical models proposed in the literature for the energy transfer in milling devices and the comparison of milling equipment efficiencies. Afterwards based on the obtained relation, eight design parameters in milling, namely, number of balls, ball diameter, vial radius, vial height, ball diameter distribution coefficient, plate spinning rate, vial spinning rate and distance between the center of the plate and the center of the vial were optimized. For evaluating the optimized parameters and their practical effectiveness, a case study was conducted. Result showed that by applying the optimal parameters instead of experimental (non-optimized) ones, a route with less time was obtained for the production of nanostructured powders in planetary mills. © 2014 Elsevier B.V.","the use of artificial bee colony algorithm to speed up","The purpose of the present paper is to use artificial"
"2969","Abe, T","colonization of nishino-shima island by plants and arthropods 31 years after eruption",2006,"PACIFIC SCIENCE","10.1353/psc.2006.0014","Although many researchers have studied colonization, the process has rarely been observed on newly emerged oceanic islands. To describe the colonization process of a remote oceanic island, I investigated the flora, vegetation, and pollinators of Nishino-shima Island 31 yr after a major eruption in 1973. Nishino-shima Island, which is 22 ha in size, is located 1,000 kin south of mainland Japan. Vegetation cover had increased, especially on new lowland area, since a preliminary survey done 10 yr after the eruption, but plant species richness remained poor (only six species). Thus, the plant colonization rate (0.10 species/yr) was far slower than that of other volcanic islands such as Krakatau. Most plants (four species) had ocean-dispersed seeds, but two species were likely dispersed via attachment to seabirds. Despite colonization by only a few plant species, there were abundant flower visitors including ants, bugs, a butterfly, and a fly (but no bee species), and the average visitation rate per flower was 5.5 visits/12 hr in total observations. Most of the insects used multiple food sources, concurrently acting as scavengers or herbivores.","colonization of nishino-shima island by plants and arthropods 31 years","Although many researchers have studied colonization, the process has rarely"
"2195","Adal, H; Asfaw, Z; Woldu, Z; Demissew, S; van Damme, P","an iconic traditional apiculture of park fringe communities of borena sayint national park, north eastern ethiopia",2015,"JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE","10.1186/s13002-015-0051-1","Background: Traditional apiculture has been practised in Ethiopia over a long historical period and still remains a benign means to extract direct benefits from natural ecosystems. While its contribution to economic development and watershed protection is increasingly recognized its cultural significance is however, seldom noticed. This study was conducted using an ethnobotanical study approach to document the honey bee flora and associated indigenous knowledge of local communities in Borena Sayint National Park (BSNP), north eastern Ethiopia. Methods: Data were collected from 170 informants through semi-structured interviews and guided field walks, focus group discussion with 37 informants and 14 key informants and analyzed using standard analytical tools including ranking, comparisons and multivariate analyses. Results: In total, 152 bee forage species in 133 genera and 74 families were documented. The Asteraceae and Rosaceae were represented with six species each over the other plant families. Percentage of mentions per species ranged between 76.9 and 13.5 % for the most salient bee forage species. Dombeya torrida, Erica arborea, and Olinia rochetiana captured high community consensus as measured by rank order of popularity and designated as local appellation names of honey. Cluster analysis of priority ranking data showed relationships between key informants with respect to preferences, but ordination analysis did not indicate environmental proximity as a determinant of their responses. Five honey harvesting seasons occur each corresponding to the floral calendar of a dominant bee forage species that stipulate relocation of hives to appropriate locations within the national park. Conclusion: The apicultural tradition is iconic with economic value and forming part of the local peoples' cultural identity apt to be preserved as a bequest for posterity.","an iconic traditional apiculture of park fringe communities of borena","Background: Traditional apiculture has been practised in Ethiopia over a"
"1529","Adams V.D.","temporal patterning of blooming phenology in pedicularis on mount rainier.",1983,"Canadian Journal of Botany","10.1139/b83-088","Two species bloom early in the growing season, one is intermediate, and 2 flower toward the later part of the season. The differences between species are related to the range of blooming periods (in days), the number of inflorescences at maximum bloom, and the time of peak bloom. More than 93% of the time individual bumblebees continued to forage on the same Pedicularis species as was previously visited; yet when switches in the diet of the bees occurred, they were more likely to be to another species of Pedicularis. Although individuals of other genera were in bloom, the bees switched to the Pedicularis species most synchronous in time and space to the previously preferred Pedicularis species. The last species to flower had the greatest reward but also had the largest ratio of the number of pollen grains to the number of ovules compared with the previously flowering Pedicularis species. Pollinator sharing is an important evolutionary force but the quantity of the pollen reward may be more related to number of ovules.-from Authors","temporal patterning of blooming phenology in pedicularis on mount rainier.","Two species bloom early in the growing season, one is"
