PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Hahn, S; Alves, JA; Bedev, K; Costa, JS; Emmenegger, T; Schulze, M; Tamm, P; Zehtindjiev, P; Dhanjal-Adams, KL",,,,"Hahn, Steffen; Alves, Jose A.; Bedev, Kiril; Costa, Joana S.; Emmenegger, Tamara; Schulze, Martin; Tamm, Peter; Zehtindjiev, Pavel; Dhanjal-Adams, Kiran L.",,,"Range-wide migration corridors and non-breeding areas of a northward expanding Afro-Palaearctic migrant, the European Bee-eater Merops apiaster",IBIS,,,,,,,,,,,,"Across their ranges, different populations of migratory species often use separate routes to migrate between breeding and non-breeding grounds. Recent changes in climate and land-use have led to breeding range expansions in many species but it is unclear whether these populations also establish new migratory routes, non-breeding sites and migration phenology. Thus, we compared the migration patterns of European Bee-eaters Merops apiaster from two established western (n = 5) and eastern (n = 6) breeding populations in Europe, with those from a newly founded northern population (n = 19). We aimed to relate the breeding populations to the two known non-breeding clusters in Africa, and to test for similarities of migration routes and timing between the old and new populations. Western Bee-eaters used the western flyway to destinations in West Africa; the eastern birds uniformly headed south to southern African non-breeding sites, confirming a complete separation in time and space between these long-established populations. The recently founded northern population, however, also used a western corridor, but crossed the Mediterranean further east than the western population and overwintered mainly in a new non-breeding area in southern Congo/northern Angola. The migration routes and the new non-breeding range overlapped only slightly with the western, but not with the eastern, population. In contrast, migration phenology appeared to differ between the western and both the northern and the eastern populations, with tracked birds from the western population migrating 2-4 weeks earlier. The northern population thus shares some spatial traits with western Bee-eaters, but similar phenology only with eastern population. This divergence highlights the adjustments in the timing of migration to local environmental conditions in newly founded populations, and a parallel establishment of new breeding and non-breeding sites.",,,,,"Zehtindjiev, Pavel/0000-0002-9786-3974; Dhanjal-Adams, Kiran/0000-0002-0496-8428; Emmenegger, Tamara/0000-0002-2839-6129; Alves, Jose/0000-0001-7182-0936",,,,,,,,,,,,0019-1019,1474-919X,,,,APR,2020,162,2,,,SI,,345,355,,10.1111/ibi.12752,,,,,,,WOS:000518963000007,,,,,
J,"Bansch, S; Tscharntke, T; Ratnieks, FLW; Hartel, S; Westphal, C",,,,"Baensch, Svenja; Tscharntke, Teja; Ratnieks, Francis L. W.; Haertel, Stephan; Westphal, Catrin",,,Foraging of honey bees in agricultural landscapes with changing patterns of flower resources,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,,,,,,,,,,,,"The demand for crop pollination is increasing and honey bees are frequently used, in particular as wild pollinators are in decline. Temporal and spatial variation of flower resources affects foraging decisions of wild and honey bees. To optimise crop pollination management a better understanding of potential competition for pollinators in mass- and minor-flowering crops is needed. We combined waggle dance decoding, pollen load analysis and field surveys to identify the habitat preferences and pollen use of honey bees in response to spatio-temporal changes in resource availability. Observation hives were placed on the edge of eleven fields of blooming strawberries (mean 2.24 ha) located in landscapes with different amounts of oilseed rape (OSR), semi-natural habitats (SNH) and apple trees in Germany. In addition, we surveyed honey bees and wild bees in strawberry fields. Honey bee dances more often indicated strawberry, OSR fields and SNH than expected given their landscapewide areas. Honey bees collected on average 7.9 % strawberry, 49.0 % OSR, 30.2 % Pyrus type (e.g. apple) and 12.9 % other pollen types. The mean honey bee foraging distance was 740 m, and decreased with OSR availability. In the observation hives, dances for strawberry fields were not directly affected by OSR availability or SNH land cover. But large amounts of OSR reduced overall honey bee and bumble bee abundance in strawberry fields, while solitary bees were unaffected. Bumble bees were most abundant in strawberry fields (54.1%) and together with solitary bees (19.7%) they represented about 75.0% of the observed bees. Minor-flowering strawberry fields represent a preferred resource for honey bees, especially for small colonies as indicated by decoding of waggle dances. However, the availability of more attractive OSR and local strawberry flower cover moderates the abundance of social bees (honey bees and bumble bees) in strawberry fields while other wild bees were less affected. Hence, we conclude that wild bee conservation plays a major role for strawberry pollination. If pollination services by solitary bees are limited, small honey bee hives can be used scrupulously to supplement pollination services in strawberries.",,,,"Westphal, Catrin/F-9560-2015","Westphal, Catrin/0000-0002-2615-1339",,,,,,,,,,,,0167-8809,1873-2305,,,,Apr-01,2020,291,,,,,,,,UNSP 106792,10.1016/j.agee.2019.106792,,,,,,,WOS:000514930700007,,,,,
J,"Kheradmand, B; Cassano, J; Gray, S; Nieh, JC",,,,"Kheradmand, Bahram; Cassano, Julian; Gray, Selena; Nieh, James C.",,,Influence of visual targets and landmarks on honey bee foraging and waggle dancing,INSECT SCIENCE,,,,,,,,,,,,"Animals use diverse sensory stimuli to navigate their environment and to recognize rewarding food sources. Honey bees use visual attributes of the targeted food source, such as its color, shape, size, direction and distance from the hive, and the landmarks around it to navigate during foraging. They transmit the location information of the food source to other bees if it is highly rewarding. To investigate the relative importance of these attributes, we trained bees to feeders in two different experiments. In the first experiment, we asked whether bees prefer to land on (a) a similar feeder at a different distance on the same heading or on (b) a visually distinct feeder located at the exact same location. We found that, within a short foraging range, bees relied heavily on the color and the shape of the food source and to a lesser extent on its distance from the hive. In the second experiment, we asked if moving the main landmark or the feeder (visual target) influenced recruitment dancing for the feeder. We found that foragers took longer to land and danced fewer circuits when the location of the food source, or a major landmark associated with it, changed. These results demonstrate that prominent visual attributes of food sources and landmarks are evidently more reliable than distance information and that foraging bees heavily utilize these visual cues at the later stages of their journey.",,,,"Nieh, James/H-8705-2014","Nieh, James/0000-0001-6237-0726; Kheradmand, Bahram/0000-0002-8699-8777",,,,,,,,,,,,1672-9609,1744-7917,,,,APR,2020,27,2,,,,,349,360,,10.1111/1744-7917.12651,,,,,,,WOS:000507308700013,30390389,,,,
J,"Birdshire, KR; Carper, AL; Briles, CE",,,,"Birdshire, Kristen R.; Carper, Adrian L.; Briles, Christy E.",,,Bee community response to local and landscape factors along an urban-rural gradient,URBAN ECOSYSTEMS,,,,,,,,,,,,"Over a third of the world's crops require insect pollination, and reliance on pollination services for food continues to rise as human populations increase. Furthermore, as interest in urban agriculture has grown, so has a need for studies of urban pollinator ecology and pollination. Analyzing pollinator assemblages along a rural-urban gradient provides powerful mechanistic insight into how urbanization impacts pollinators. Yet, studies examining pollinators along urban-rural gradients are limited and results vary. Since pollinators vary tremendously in life history characteristics and respond to urbanization differently, studies from different regions would improve our understanding of pollinator response to urbanization. This study documents different bee assemblages along a high-plains semi-arid urban-rural gradient in Denver, Colorado, USA. Percent impervious surface was used to define the extent of urbanization at 12 sites and local and landscape characteristics were estimated using field assessments and geospatial analysis. Wild bees were collected and the relationships between urbanization and bee communities were explored using linear modeling. Overall, bee abundance and diversity decreased with increasing urbanization, suggesting that urban areas negatively impact bee communities. However, all bee guilds responded positively to local floral richness and negatively to the degree of landscape urbanization, suggesting that different types of bees responded similarly to urbanization. These findings suggest that providing a greater diversity of floral resources is key to mitigating the negative impacts of urbanization on pollinator communities.",,,,,,,,,,,,,,,,,1083-8155,1573-1642,,,,,,,,,,,,,,,10.1007/s11252-020-00956-w,,Mar-20,,,,,WOS:000518343900001,,,,,
J,"Requier, F; Jowanowitsch, KK; Kallnik, K; Steffan-Dewenter, I",,,,"Requier, Fabrice; Jowanowitsch, Kim K.; Kallnik, Katharina; Steffan-Dewenter, Ingolf",,,"Limitation of complementary resources affects colony growth, foraging behavior, and reproduction in bumble bees",ECOLOGY,,,,,,,,,,,,"Resource availability in agricultural landscapes has been disturbed for many organisms, including pollinator species. Abundance and diversity in flower availability benefit bee populations; however, little is known about which of protein or carbohydrate resources may limit their growth and reproductive performance. Here, we test the hypothesis of complementary resource limitation using a supplemental feeding approach. We applied this assumption with bumble bees (Bombus terrestris), assuming that colony growth and reproductive performance should depend on the continuous supply of carbohydrates and proteins, through the foraging for nectar and pollen, respectively. We placed wild-caught bumble bee colonies along a landscape gradient of seminatural habitats, and monitored the colonies' weight, foraging activity, and reproductive performance during the whole colony cycle. We performed supplemental feeding as an indicator of landscape resource limitation, using a factorial design consisting of the addition of sugar water (carbohydrate, supplemented or not) crossed by pollen (protein, supplemented or not). Bumble bee colony dynamics showed a clear seasonal pattern with a period of growth followed by a period of stagnation. Higher abundance of seminatural habitats resulted in reducing the proportion of pollen foragers relative to all foragers in both periods, and in improving the reproductive performance of bumble bees. Interestingly, the supplemental feeding of sugar water positively affected the colony weight during the stagnation period, and the supplemental feeding of pollen mitigated the landscape effect on pollen collection investment. Single and combined supplementation of sugar water and pollen increased the positive effect of seminatural habitats on reproductive performance. This study reveals a potential colimitation in pollen and nectar resources affecting foraging behavior and reproductive performance in bumble bees, and indicates that even in mixed agricultural landscapes with higher proportions of seminatural habitats, bumble bee populations face resource limitations. We conclude that the seasonal management of floral resources must be considered in conservation to support bumble bee populations and pollination services in farmlands.",,,,,"Requier, Fabrice/0000-0003-1638-3141; Steffan-Dewenter, Ingolf/0000-0003-1359-3944",,,,,,,,,,,,0012-9658,1939-9170,,,,MAR,2020,101,3,,,,,,,e02946,10.1002/ecy.2946,,,,,,,WOS:000518696800008,31840224,,,,
J,"Cunningham-Minnick, MJ; Peters, VE; Crist, TO",,,,"Cunningham-Minnick, Michael J.; Peters, Valerie E.; Crist, Thomas O.",,,Bee communities and pollination services in adjacent crop fields following flower removal in an invasive forest shrub,ECOLOGICAL APPLICATIONS,,,,,,,,,,,,"The habitat boundaries between crops and seminatural areas influence bee movements and pollination services to crops. Edges also provide favorable conditions for invasive plants, which may usurp pollinators and reduce visitation to native or crop plants. Alternatively, floral displays of alien plants may facilitate, or increase, the pollination success of adjacent plants by attracting more pollinators to the area. Therefore, pollination services of bees from seminatural habitats to crop areas should vary with the presence of invasive floral resources and distance from habitat edges. To test the hypothesis that floral resources of invasive forest shrubs affect the bee community and pollination services in adjacent crop fields, we conducted a 2-yr field experiment along forest-crop edges at five isolated forest remnants. We removed flower buds from a dominant invasive shrub, Lonicera maackii (Amur honeysuckle), along forest-crop edges and paired removals with controls of intact flowers. The bee community, their pollination services, and flower visitation rates were quantified along a 200-m gradient into an adjacent crop field using pan traps and sentinel cucumber plants. Impacts to the bee community were dependent of bee functional traits. Larger bees visited fewer sentinel cucumber flowers in flower removal plots, which corresponded with decreased cucumber pollination compared to plots with honeysuckle flowers at distances >100 m from forest edges. Small-bodied and weaker flying bees visited sentinel plants more frequently closer to the forest edge and increased pollination services to cucumber at distances L. maackii shrubs in flower removal plots. After 2 yr, bee abundance and species richness increased within flower removal plots across all distances. High functional diversity of the bee community increased pollination services to sentinel plants and increased cucumber production within 200 m from forest remnants. Our findings suggest that dense floral resources of invasive shrubs suppressed forest-edge bee communities and their pollination services, but also attracted large-bodied generalist bees, which were effective pollinators. This study helps explain how life histories and functional attributes of bees can predict either facilitation or suppression of pollination services to crop or native plants in response to invasive floral resources.",,,,,,,,,,,,,,,,,1051-0761,1939-5582,,,,,,,,,,,,,,,10.1002/eap.2078,,Feb-20,,,,,WOS:000516160400001,31971650,,,,
J,"Boyle, NK; Artz, DR; Lundin, O; Ward, K; Picklum, D; Wardell, GI; Williams, NM; Pitts-Singer, TL",,,,"Boyle, Natalie K.; Artz, Derek R.; Lundin, Ola; Ward, Kimiora; Picklum, Devon; Wardell, Gordon I.; Williams, Neal M.; Pitts-Singer, Theresa L.",,,"Wildflower plantings promote blue orchard bee, Osmia lignaria (Hymenoptera: Megachilidae), reproduction in California almond orchards",ECOLOGY AND EVOLUTION,,,,,,,,,,,,"Concerns over the availability of honeybees (Apis mellifera L.) to meet pollination demands have elicited interest in alternative pollinators to mitigate pressures on the commercial beekeeping industry. The blue orchard bee, Osmia lignaria (Say), is a commercially available native bee that can be employed as a copollinator with, or alternative pollinator to, honeybees in orchards. To date, their successful implementation in agriculture has been limited by poor recovery of bee progeny for use during the next spring. This lack of reproductive success may be tied to an inadequate diversity and abundance of alternative floral resources during the foraging period. Managed, supplementary wildflower plantings may promote O. lignaria reproduction in California almond orchards. Three wildflower plantings were installed and maintained along orchard edges to supplement bee forage. Plantings were seeded with native wildflower species that overlapped with and extended beyond almond bloom. We measured bee visitation to planted wildflowers, bee reproduction, and progeny outcomes across orchard blocks at variable distances from wildflower plantings during 2015 and 2016. Pollen provision composition was also determined to confirm O. lignaria wildflower pollen use. Osmia lignaria were frequently observed visiting wildflower plantings during, and after, almond bloom. Most O. lignaria nesting occurred at orchard edges. The greatest recovery of progeny occurred along the orchard edges having the closest proximity (80 m) to managed wildflower plantings versus edges farther away. After almond bloom, O. lignaria nesting closest to the wildflower plantings collected 72% of their pollen from Phacelia spp., which supplied 96% of the managed floral area. Phacelia spp. pollen collection declined with distance from the plantings, but still reached 17% 800 m into the orchard. This study highlights the importance of landscape context and proximity to supplementary floral resources in promoting the propagation of solitary bees as alternative managed pollinators in commercial agriculture.",,,,,"Lundin, Ola/0000-0002-5948-0761",,,,,,,,,,,,2045-7758,,,,,,,,,,,,,,,,10.1002/ece3.5952,,Feb-20,,,,,WOS:000515454900001,,,,,
J,"MacInnis, G; Forrest, JRK",,,,"MacInnis, Gail; Forrest, Jessica R. K.",,,Field design can affect cross-pollination and crop yield in strawberry (Fragaria x ananassa D.),AGRICULTURE ECOSYSTEMS & ENVIRONMENT,,,,,,,,,,,,"The distance travelled by pollinators between successive flower visits can affect the quality of pollen transferred among plants. In cropping environments, especially monoculture systems, pollinators that travel between plants or rows may increase cross-pollination and consequently crop yield. However, the most commonly utilized crop pollinator, Apis mellifera L., tends to forage consecutively on nearest-neighbouring plants within rows. The level of cross-pollination can be further restricted in crops that are propagated by cloning. When a clonal variety is planted over large areas, the potential for outcrossed pollen deposition could be limited, regardless of pollinator flight distances. To investigate how pollinator movement and varietal diversity interact to affect crop pollination, we conducted an experiment with wild and honey bees in single- and multiple-variety strawberry fields. We hypothesized that the amount of cross-pollination provided by wild bees in multiple-variety strawberry fields would be greater than in single-variety fields, and greater than that provided by honey bees in either field type. We found that, indeed, flowers visited by wild bees produced larger strawberries than those visited by honey bees in multiple-variety plots, but only in the more self-incompatible of the two strawberry varieties tested. Strawberries resulting from honey bee pollination were of similar size regardless of the number of varieties planted in the field. Our results show that certain multiple-variety strawberry fields can benefit from the irregular foraging patterns of some solitary bee species, leading to increased cross-pollination and crop yield. Strawberry growers could take advantage of this effect by planting multiple varieties in close proximity and by supporting wild bee populations on farms.",,,,,,,,,,,,,,,,,0167-8809,1873-2305,,,,Feb-15,2020,289,,,,,,,,UNSP 106738,10.1016/j.agee.2019.106738,,,,,,,WOS:000500218500009,,,,,
J,"Machado, T; Viana, BF; da Silva, CI; Boscolo, D",,,,"Machado, Tatiana; Viana, Blandina Felipe; da Silva, Claudia Ines; Boscolo, Danilo",,,How landscape composition affects pollen collection by stingless bees?,LANDSCAPE ECOLOGY,,,,,,,,,,,,"Context Human disturbances are one of the main reasons for the recent deficit of pollinators, which can cause severe habitat loss, decreasing food availability and nesting resources for pollinators. However, few studies show how landscapes composition and configuration can impact the pollen foraging of bees. Objectives We aimed to evaluate how landscape structure and local characteristics can influence the pollen foraging patterns of the stingless bee Melipona quadrifasciata anthidioides in agricultural landscapes of Chapada Diamantina, a region of the Bahia state in Brazil. Methods Pollen samples were collected from fourteen M. quadrifasciata anthidioides colonies to evaluate how pollen collection varies according to different proportions of human land-use, landscape heterogeneity, plant richness and distance from crops. To explain the richness and diversity of pollen collected by bees, we used generalized linear models, and linear models, compared through the Akaike information criteria corrected for small samples (AICc). Results Pollen richness can be explained by the distance from crops, plant richness and human land-use proportion. Bees will collect pollen from more plant species when they are in a natural and diverse landscape. Conclusions Pollinator friendly crop areas must be planned to be surrounded by diverse natural nearby environments, guaranteeing yearlong pollen resources available for bees' maintenance.",,,,,"Machado de Souza, Tatiana/0000-0002-4845-9545",,,,,,,,,,,,0921-2973,1572-9761,,,,,,,,,,,,,,,10.1007/s10980-020-00977-y,,Feb-20,,,,,WOS:000516210500001,,,,,
J,"Brown, M; Brown, MJF",,,,"Brown, M.; Brown, M. J. F.",,,Nectar preferences in male bumblebees,INSECTES SOCIAUX,,,,,,,,,,,,"Social insect males are relatively understudied, but knowledge of their biology is increasingly important for conservation of declining groups. Bumblebees are important pollinators in temperate, sub-arctic, and Alpine regions, but many species are in decline across the globe. Agri-environment schemes have been designed to support female bumblebees, but free-living males may also need support. Male bumblebees have an energetically expensive lifestyle, and so understanding their foraging choices may provide a first step towards designing interventions to support them in the wild. Using a series of controlled laboratory choice experiments, we demonstrate that males prefer sugar concentrations of between 50 and 60% when under either simple (binary) or complex (octanary) choice conditions when presented with a broad range of sugar concentrations. When presented with concentrations within this preferred range, males exhibit a clear preference for sugar solutions of 56% w/w sucrose when solutions differ by 4%. These results suggest that males maximise their rate of energy intake, as predicted by theoretical models, rather than minimise their water consumption. In the future, male preferences for high sugar concentrations can be combined with knowledge of baseline nectar concentrations and flower phenology to maximise the value of conservation interventions for this neglected sex.",,,,,,,,,,,,,,,,,0020-1812,1420-9098,,,,,,,,,,,,,,,10.1007/s00040-020-00751-y,,Feb-20,,,,,WOS:000515947300001,,,,,
